budget,HI 0,HI 1,HI 2,HI 3,HI 4,HI 5,HI 6,HI 7,HI 8,HI 9,HI 10,HI 11,HI 12,HI 13,HI 14,HI 15,HI 16,HI 17,HI 18,HI 19,HI 20,HI 21,HI 22,HI 23,HI 24,HI 25,HI 26,HI 27,HI 28,HI 29,HI 30,HI 31,HI 32,HI 33,HI 34,HI 35,HI 36,HI 37,HI 38,HI 39,HI 40,HI 41,HI 42,HI 43,HI 44,HI 45,HI 46,HI 47,HI 48,HI 49,HI 50,HI 51,HI 52,HI 53,HI 54,HI 55,HI 56,HI 57,HI 58,HI 59,HI 60,HI 61,HI 62,HI 63,HI 64,HI 65,HI 66,HI 67,HI 68,HI 69,HI 70,HI 71,HI 72,HI 73,HI 74,HI 75,HI 76,HI 77,HI 78,HI 79,HI 80,HI 81,HI 82,HI 83,HI 84,HI 85,HI 86,HI 87,HI 88,HI 89,HI 90,HI 91,HI 92,HI 93,HI 94,HI 95,HI 96,HI 97,HI 98,HI 99,HI 100,HI 101,HI 102,HI 103,HI 104,HI 105,HI 106,HI 107,HI 108,HI 109,HI 110,HI 111,HI 112,HI 113,HI 114,HI 115,HI 116,HI 117,HI 118,HI 119,HI 120,HI 121,HI 122,HI 123,HI 124,HI 125,HI 126,HI 127,HI 128,HI 129,HI 130,HI 131,HI 132,HI 133
Business Support,Records with height rounded to X.0 or X.5,Percentage of adults (aged 18+) classified as obese,Unemployment (Percentage of the working age population claiming out of work benefit),Admission episodes for alcohol-related conditions (Narrow): Old Method,Proportion of drug sensitive TB cases who were lost to follow up at last reported outcome,Potential years of life lost due to smoking related illness,Population vaccination coverage: MMR for one dose (5 years old),Serious casualties from road traffic accidents (aged 0-24),Admissions for gastroenteritis in infants aged 1 year,Density of fast food outlets,Percentage with 3 or more risky behaviours at age 15,First time offenders,"Children subject to a child protection plan with initial category of neglect:  rate per 10,000 children aged under 18",Volume of pure alcohol sold through the off-trade: wine sales,Index of Multiple Deprivation (IMD) Score,Emergency admissions for car occupants (aged 0-24),Gap in the employment rate between those with a physical or mental long term health condition (aged 16 to 64) and the overall employment rate,Population vaccination coverage: Dtap IPV  Hib (1 year old),Concurrent contact with mental health services and substance misuse services for drug misuse,Inequality in life expectancy at 65,Percentage of deliveries to mothers from Black and Minority Ethnic (BME) groups,"STEC  (Shiga toxin-producing Escherichia coli) serogroup O157 5-year incidence rate/100,000",Percentage of adults (aged 18+) classified as overweight or obese,Air pollution: fine particulate matter (historic indicator),Volume of pure alcohol sold through the off-trade: all alcohol sales,"DiUPR - Respiratory disease (%), Persons, All Ages.",Population vaccination coverage - Hib / Men C booster (5 years old),Free school meals: % uptake among all pupils,Postpartum psychosis: Estimated number of women,Percentage physically active for at least one hour per day seven days a week at age 15,Population vaccination coverage: Meningococcal ACWY conjugate vaccine (MenACWY) (14 to 15 years),Prevalence of potential eating disorders among young people: estimated number aged 16 - 24,Car occupants killed or seriously injured in road traffic accidents (aged 15-24),Children in care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Physical support - adults (18�64),Proportion of TB cases offered an HIV test,Potential years of life lost due to smoking related illness,Density of fast food outlets,Percentage with 3 or more risky behaviours at age 15,Percentage who have been drunk in the last 4 weeks at age 15,"Permanent admissions to residential and nursing care homes per 100,000 aged 65+",Emergency admissions for car occupants (aged 0-24),Population vaccination coverage - Hib / Men C booster (5 years old),Population vaccination coverage: Meningococcal ACWY conjugate vaccine (MenACWY) (14 to 15 years),Under 75 mortality rate from cancer considered preventable (2019 definition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Structural maintenance,Smoking attributable deaths from stroke (new method),Admission episodes for alcohol-related conditions (Broad): Old Method,Caesarean section %,Post-neonatal mortality rate,Potential years of life lost due to smoking related illness,Volume of pure alcohol sold through the off-trade: wine sales,Prevalence of severe knee osteoarthritis in people aged  45 and over,Emergency admissions for car occupants (aged 0-24),Population vaccination coverage: Dtap IPV  Hib (1 year old),Inequality in life expectancy at 65,Excess winter deaths index (age 85+),Air pollution: fine particulate matter (historic indicator),Volume of pure alcohol sold through the off-trade: all alcohol sales,Persistent absentees - Secondary school,"HIV testing coverage, women",Population vaccination coverage: Meningococcal ACWY conjugate vaccine (MenACWY) (14 to 15 years),Percentage of population whose ethnic group is not 'white',Children in care,"Admission episodes for alcohol-related conditions (Narrow) – 40 to 64 years: New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Substance misuse - Drug misuse - adults,Smoking attributable deaths from stroke (new method),HIV late diagnosis in people first diagnosed with HIV in the UK,"Dementia: Crude Recorded Prevalence (aged under 65 years) per 10,000",Admission episodes for alcohol-related conditions (Narrow): Old Method,Long term claimants of Jobseeker's Allowance,Persons entering drug misuse treatment - Percentage of eligible persons completing a course of hepatitis B vaccination,Potential years of life lost due to smoking related illness,"Statutory homelessness: rate per 1,000 households",Serious casualties from road traffic accidents (aged 0-24),"Admission episodes for alcohol-related unintentional injuries (Narrow): New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.",Participation rate: Year 6,"The proportion of clients entering drug treatment identified as having a mental health treatment need, who were receiving treatment for their mental health.",Percentage with 3 or more risky behaviours at age 15,D09 - NHS organisations with a board approved sustainable development management plan,"Deaths from all causes, under 75 years, standardised mortality ratio","Permanent admissions to residential and nursing care homes per 100,000 aged 65+",Admission episodes for mental and behavioural disorders due to use of alcohol (Narrow): Old Method,"Under 18s births rate / 1,000",First time offenders,Deprivation score (IMD 2019),Smoking prevalence in adults (18+) admitted to treatment for substance misuse (NDTMS) - non-opiates,CHD: QOF prevalence (all ages),"dmft (decayed, missing or filled teeth) in five year olds",Dementia: Direct standardised rate of emergency admissions (aged 65 years and over),Emergency hospital admissions due to falls in people aged 80+,Population vaccination coverage: Dtap IPV  Hib (1 year old),Births to mothers aged 40+: % of live births,Hospital admission rate for alcoholic liver disease,"Admissions for lower respiratory tract infections in children aged 2, 3 and 4 years",Successful completion of drug treatment - opiate users,"DiUPR - Respiratory disease (%), Persons, All Ages.",Persistent absentees - Secondary school,Child mortality rate (1-17 years),Population vaccination coverage - Hib / Men C booster (5 years old),"HIV testing coverage, women",Disability-free life expectancy at birth,Oesophageal cancer registrations,Population vaccination coverage: Meningococcal ACWY conjugate vaccine (MenACWY) (14 to 15 years),Prevalence of potential eating disorders among young people: estimated number aged 16 - 24,Under 75 mortality rate from cancer considered preventable (2019 definition),"Children in need due to abuse or neglect: rate per 10,000 children aged under 18 years",Children in care,Repeat child protection cases: % of children who became subject of a child protection plan for a second or subsequent time,"Admission episodes for alcohol-related conditions (Narrow) – 40 to 64 years: New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Culture and heritage,People receiving an NHS Health Check per year,"Emergency hospital admissions for injuries in under 15 years old, crude rate",Smoking attributable deaths from stroke (new method),"Chlamydia diagnostic rate per 100,000 aged 25 years and older",People invited for an NHS Health Check,Records with height rounded to X.0 or X.5,Admission episodes for alcohol-specific conditions - Under 18s,HIV late diagnosis in people first diagnosed with HIV in the UK,Estimated prevalence of common mental disorders: % of population aged 16 & over,Percentage of adults (aged 18+) classified as obese,Proportion of dependent drinkers not in treatment (%) (Current method),Estimated diabetes diagnosis rate,School readiness: percentage of children achieving a good level of development at the end of Reception,"Children in need due to parent disability or illness: rate per 10,000 children under 18",Admission episodes for alcohol-related conditions (Broad): Old Method,"Dementia: Crude Recorded Prevalence (aged under 65 years) per 10,000",Number in treatment at specialist alcohol misuse services,Smoking prevalence in adults with a long term mental health condition (18+) - current smokers (GPPS),Admission episodes for alcohol-related conditions (Narrow): Old Method,Place of death - home: People with dementia (aged 65 years and over),Percentage of deaths that occur at home,Smoking prevalence at age 15 - regular smokers (modelled estimates),Care home beds per 100 people 75+,Long term claimants of Jobseeker's Allowance,"School pupils with social, emotional and mental health needs: % of school pupils with social, emotional and mental health needs",Smoking Prevalence in adults (18+) - ex smokers (APS),Under 75 mortality rate from cancer considered preventable (2016 definition),Caesarean section %,Persons entering drug misuse treatment - Percentage of eligible persons completing a course of hepatitis B vaccination,Post-neonatal mortality rate,PTSD in perinatal period: Estimated number of women,Potential years of life lost due to smoking related illness,"Statutory homelessness: rate per 1,000 households",Population vaccination coverage: MMR for one dose (5 years old),Serious casualties from road traffic accidents (aged 0-24),Drug misuse in early pregnancy,"Admission episodes for alcohol-related unintentional injuries (Narrow): New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.","Mortality rate from cancer, ages 65+ years",Emergency admissions for pedestrians (aged 0-24),Participation rate: Year 6,"Under 18s conception rate / 1,000",Social Isolation: percentage of adult social care users who have as much social contact as they would like,Admissions for gastroenteritis in infants aged 1 year,"DiUPR - Cancer (%), Persons, All Ages.","Year 6: Prevalence of overweight (including obesity), 3-years data combined","The proportion of clients entering drug treatment identified as having a mental health treatment need, who were receiving treatment for their mental health.",Persistent absentees - Primary school,Under 75 mortality rate from breast cancer,Cancer screening coverage: bowel cancer,Percentage who have been drunk in the last 4 weeks at age 15,Under 25s repeat abortions (%),Adjustment disorders and distress in perinatal period (upper estimate): Estimated number of women,D09 - NHS organisations with a board approved sustainable development management plan,Proportion of children who received a 2-2½ year review,"Permanent admissions to residential and nursing care homes per 100,000 aged 65+","Measles incidence rate/100,000",People aged 75+ registered blind or partially sighted,Drinking in early pregnancy,Children aged 11-15 killed or seriously injured in road traffic accidents,Smoking prevalence in adults with anxiety or depression (18+) - current smokers (GPPS),A&E attendances (under 1 year),"Under 18s births rate / 1,000",First time offenders,Deprivation score (IMD 2019),Children with Severe Learning Difficulties known to schools,"Children subject to a child protection plan with initial category of neglect:  rate per 10,000 children aged under 18",Volume of pure alcohol sold through the off-trade: wine sales,Under 75 mortality rate from liver disease,The percentage of people resident in the area living in each national deprivation quintile,Satisfaction with social care support: % service users extremely satisfied or very satisfied with their care and support,Index of Multiple Deprivation (IMD) Score,Emergency admissions for car occupants (aged 0-24),School readiness: percentage of children achieving the expected level in the phonics screening check in Year 1,Hospital admission rate due to liver disease,Emergency hospital admissions due to falls in people aged 80+,Overcrowded households,Gap in the employment rate between those with a physical or mental long term health condition (aged 16 to 64) and the overall employment rate,Population vaccination coverage: Dtap IPV  Hib (1 year old),Concurrent contact with mental health services and substance misuse services for drug misuse,Births to mothers aged 40+: % of live births,Fraction of mortality attributable to particulate air pollution (old method),Hospital admission rate for alcoholic liver disease,Deaths in Usual Place of Residence: People with dementia (aged 65 years and over),Excess winter deaths index (age 85+),1.13ii - Re-offending levels - average number of re-offences per offender,Percentage of deliveries to mothers from Black and Minority Ethnic (BME) groups,Successful completion of drug treatment - opiate users,"STEC  (Shiga toxin-producing Escherichia coli) serogroup O157 5-year incidence rate/100,000",Percentage of adults (aged 18+) classified as overweight or obese,Air pollution: fine particulate matter (historic indicator),Percentage of population whose ethnicity is not 'White UK',Loneliness: Percentage of adults who feel lonely often / always or some of the time,Pedal cyclists killed or seriously injured in road traffic accidents (aged 0-24),Persistent absentees - Secondary school,Percentage of the total resident population who are 0 to 4 years of age,Population vaccination coverage - Hib / Men C booster (5 years old),Prevalence of knee osteoarthritis in people aged  45 and over,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),Smoking Prevalence in adults (18+) - ex smokers (APS) (2020 definition),Disability-free life expectancy at birth,Oesophageal cancer registrations,"Gap in the employment rate for those who are in contact with secondary mental health services  (aged 18 to 69) and on the Care Plan Approach, and the overall employment rate",Year 6: Prevalence of obesity (including severe obesity),Deprivation score (IMD 2015),Gender pay gap (by workplace location),Percentage physically active for at least one hour per day seven days a week at age 15,Percentage of NHS Health Checks offered to the total eligible population in the quarter,Prevalence of potential eating disorders among young people: estimated number aged 16 - 24,Under 75 mortality rate from cancer considered preventable (2019 definition),Percentage of the total resident population aged 85 and over,"Children in need due to abuse or neglect: rate per 10,000 children aged under 18 years",Percentage of population whose ethnic group is not 'white',Percentage of deaths that occur in care homes,Children in care,Emergency hospital admissions due to falls in people aged 65 and over,Percentage of 5 year olds with experience of visually obvious dental decay,"Admission episodes for alcohol-related conditions (Narrow) – 40 to 64 years: New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.",Children in care immunisations,,,,,,,,,,,,,,,,

Children's social care: Other children and family services,Admissions of babies under 14 days,Persons entering drug misuse treatment - Percentage of eligible persons completing a course of hepatitis B vaccination,Admissions for gastroenteritis in infants aged 1 year,"General fertility rate: live births per 1,000 women aged 15-44 years. five year pooled",A&E attendances (under 1 year),"Children subject to a child protection plan with initial category of neglect:  rate per 10,000 children aged under 18",Lone parent families: % of households,Loneliness: Percentage of adults who feel lonely often / always or some of the time,Deprivation score (IMD 2015),"Children in need due to abuse or neglect: rate per 10,000 children aged under 18 years",Percentage of population whose ethnic group is not 'white',Children in care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Development control,People receiving an NHS Health Check per year,"Emergency hospital admissions for hip fracture in persons 65 years and over, standardised admission ratio",Admission episodes for alcohol-specific conditions - Under 18s,"Typhoid & paratyphoid incidence rate/100,000",Proportion of dependent drinkers not in treatment (%) (Current method),Admission episodes for alcohol-related conditions (Broad): Old Method,"Dementia: Crude Recorded Prevalence (aged under 65 years) per 10,000",Number in treatment at specialist alcohol misuse services,Hospital admissions caused by unintentional and deliberate injuries in children (aged 0-14 years),Admission episodes for alcohol-related conditions (Narrow): Old Method,Place of death - home: People with dementia (aged 65 years and over),Housing affordability ratio,Proportion of TB cases offered an HIV test,Potential years of life lost due to smoking related illness,"Admission episodes for alcohol-related unintentional injuries (Narrow): New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.",Participation rate: Year 6,Density of fast food outlets,Cancer screening coverage: bowel cancer,Admission episodes for mental and behavioural disorders due to use of alcohol (Narrow): Old Method,Drinking in early pregnancy,Homelessness - households owed a duty under the Homelessness Reduction Act,Deprivation score (IMD 2019),Volume of pure alcohol sold through the off-trade: wine sales,The percentage of people resident in the area living in each national deprivation quintile,Index of Multiple Deprivation (IMD) Score,Emergency hospital admissions due to falls in people aged 80+,Overcrowded households,Gap in the employment rate between those with a physical or mental long term health condition (aged 16 to 64) and the overall employment rate,Population vaccination coverage: Dtap IPV  Hib (1 year old),Concurrent contact with mental health services and substance misuse services for drug misuse,Births to mothers aged 40+: % of live births,Fraction of mortality attributable to particulate air pollution (old method),"Migrant GP registrations: rate per 1,000 population",Percentage of deliveries to mothers from Black and Minority Ethnic (BME) groups,"STEC  (Shiga toxin-producing Escherichia coli) serogroup O157 5-year incidence rate/100,000",Air pollution: fine particulate matter (historic indicator),Percentage of population whose ethnicity is not 'White UK',Pedal cyclists killed or seriously injured in road traffic accidents (aged 0-24),Volume of pure alcohol sold through the off-trade: all alcohol sales,Persistent absentees - Secondary school,Population vaccination coverage - Hib / Men C booster (5 years old),Smoking Prevalence in adults (18+) - ex smokers (APS) (2020 definition),Disability-free life expectancy at birth,Deprivation score (IMD 2015),Gender pay gap (by workplace location),"New STI diagnoses (excluding chlamydia aged under 25) per 100,000",Percentage of the total resident population aged 85 and over,Percentage of population whose ethnic group is not 'white',"Admission episodes for alcohol-related conditions (Narrow) – 40 to 64 years: New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.",Children in care immunisations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Other welfare services,Individuals not reaching the Minimum Income Standard,People invited for an NHS Health Check,"Emergency hospital admissions for hip fracture in persons 65 years and over, standardised admission ratio",Estimated prevalence of common mental disorders: % of population aged 16 & over,Percentage of adults (aged 18+) classified as obese,School readiness: percentage of children achieving a good level of development at the end of Reception,Admission episodes for alcohol-related conditions (Broad): Old Method,Unemployment (Percentage of the working age population claiming out of work benefit),Newborn Blood Spot Screening: Coverage,Post-neonatal mortality rate,Proportion of drug sensitive TB cases who were lost to follow up at last reported outcome,Serious casualties from road traffic accidents (aged 0-24),"Admission episodes for alcohol-related unintentional injuries (Narrow): New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.","Under 18s conception rate / 1,000",Social Isolation: percentage of adult social care users who have as much social contact as they would like,Density of fast food outlets,Under 75 mortality rate from breast cancer,D09 - NHS organisations with a board approved sustainable development management plan,"Permanent admissions to residential and nursing care homes per 100,000 aged 65+",Smoking prevalence in adults with anxiety or depression (18+) - current smokers (GPPS),First time offenders,CHD: QOF prevalence (all ages),Emergency admissions for car occupants (aged 0-24),Population vaccination coverage: Dtap IPV  Hib (1 year old),Percentage of deliveries to mothers from Black and Minority Ethnic (BME) groups,"Suicide crude rate 10-34 years: per 100,000 (5 year average)",Population vaccination coverage - Hib / Men C booster (5 years old),Deprivation score (IMD 2015),Population vaccination coverage: Meningococcal ACWY conjugate vaccine (MenACWY) (14 to 15 years),Percentage of population whose ethnic group is not 'white',Percentage of deaths that occur in care homes,Children in care,"Admission episodes for alcohol-related conditions (Narrow) – 40 to 64 years: New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Children's social care: Youth justice,"Emergency hospital admissions for injuries in under 15 years old, crude rate",Records with height rounded to X.0 or X.5,Persons entering drug misuse treatment - Percentage of eligible persons completing a course of hepatitis B vaccination,The percentage of people resident in the area living in each national deprivation quintile,Concurrent contact with mental health services and substance misuse services for drug misuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Sure start children's centres and early years,"Emergency hospital admissions for injuries in under 15 years old, crude rate",Admissions of babies under 14 days,Positive satisfaction with life among 15 year olds: % reporting positive life satisfaction,Admission episodes for alcohol-related conditions (Broad): Old Method,Number in treatment at specialist alcohol misuse services,Persons entering drug misuse treatment - Percentage of eligible persons completing a course of hepatitis B vaccination,Potential years of life lost due to smoking related illness,Population vaccination coverage: MMR for one dose (5 years old),"Admission episodes for alcohol-related unintentional injuries (Narrow): New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.",Participation rate: Year 6,First time offenders,CHD: QOF prevalence (all ages),Satisfaction with social care support: % service users extremely satisfied or very satisfied with their care and support,Population vaccination coverage: Dtap IPV  Hib (1 year old),Percentage of the total resident population who are 0 to 4 years of age,Population vaccination coverage - Hib / Men C booster (5 years old),Percentage physically active for at least one hour per day seven days a week at age 15,Population vaccination coverage: Meningococcal ACWY conjugate vaccine (MenACWY) (14 to 15 years),Children in care,Children in care immunisations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Children 5�19 public health programmes,Individuals not reaching the Minimum Income Standard,"Emergency hospital admissions for injuries in under 15 years old, crude rate",Smoking attributable deaths from stroke (new method),People invited for an NHS Health Check,Records with height rounded to X.0 or X.5,Admission episodes for alcohol-specific conditions - Under 18s,HIV late diagnosis in people first diagnosed with HIV in the UK,Estimated prevalence of common mental disorders: % of population aged 16 & over,Admissions of babies under 14 days,"Typhoid & paratyphoid incidence rate/100,000",Percentage of adults (aged 18+) classified as obese,Proportion of dependent drinkers not in treatment (%) (Current method),Estimated diabetes diagnosis rate,School readiness: percentage of children achieving a good level of development at the end of Reception,Number in treatment at specialist alcohol misuse services,Newborn Blood Spot Screening: Coverage,Smoking prevalence in adults with a long term mental health condition (18+) - current smokers (GPPS),"Violent crime - sexual offences per 1,000 population",Smoking prevalence at age 15 - regular smokers (modelled estimates),Care home beds per 100 people 75+,Smoking Prevalence in adults (18+) - ex smokers (APS),Under 75 mortality rate from cancer considered preventable (2016 definition),Abdominal Aortic Aneurysm Screening Coverage,Proportion of TB cases offered an HIV test,Persons entering drug misuse treatment - Percentage of eligible persons completing a course of hepatitis B vaccination,Potential years of life lost due to smoking related illness,Population vaccination coverage: MMR for one dose (5 years old),Serious casualties from road traffic accidents (aged 0-24),"Under 18s conception rate / 1,000",Admissions for gastroenteritis in infants aged 1 year,"Year 6: Prevalence of overweight (including obesity), 3-years data combined",Density of fast food outlets,"The proportion of clients entering drug treatment identified as having a mental health treatment need, who were receiving treatment for their mental health.","General fertility rate: live births per 1,000 women aged 15-44 years. five year pooled",dmft in three year olds,Percentage with 3 or more risky behaviours at age 15,"Deaths from all causes, under 75 years, standardised mortality ratio",Drinking in early pregnancy,Admissions for diabetes for young people aged 10 to 18,Children aged 11-15 killed or seriously injured in road traffic accidents,Percentage who have ever had an alcoholic drink at age 15,"Under 18s births rate / 1,000",CHD: QOF prevalence (all ages),Mortality rate from chronic obstructive pulmonary disease,Volume of pure alcohol sold through the off-trade: wine sales,Under 75 mortality rate from liver disease,School readiness: percentage of children achieving the expected level in the phonics screening check in Year 1,Overcrowded households,Population vaccination coverage: Dtap IPV  Hib (1 year old),Concurrent contact with mental health services and substance misuse services for drug misuse,Inequality in life expectancy at 65,Hospital admission rate for alcoholic liver disease,Deaths in Usual Place of Residence: People with dementia (aged 65 years and over),Percentage of deliveries to mothers from Black and Minority Ethnic (BME) groups,Successful completion of drug treatment - opiate users,Percentage of adults (aged 18+) classified as overweight or obese,Air pollution: fine particulate matter (historic indicator),"Suicide crude rate 10-34 years: per 100,000 (5 year average)",Pedal cyclists killed or seriously injured in road traffic accidents (aged 0-24),"DiUPR - Respiratory disease (%), Persons, All Ages.",Persistent absentees - Secondary school,Child mortality rate (1-17 years),"HIV testing coverage, women",Free school meals: % uptake among all pupils,Smoking Prevalence in adults (18+) - ex smokers (APS) (2020 definition),Disability-free life expectancy at birth,"Non-typhoidal Salmonella incidence rate/100,000","New STI diagnoses (excluding chlamydia aged under 25) per 100,000",Volume of pure alcohol sold through the off-trade: beer sales,Population vaccination coverage: Meningococcal ACWY conjugate vaccine (MenACWY) (14 to 15 years),Percentage of NHS Health Checks offered to the total eligible population in the quarter,Prevalence of potential eating disorders among young people: estimated number aged 16 - 24,Under 75 mortality rate from cancer considered preventable (2019 definition),"Children in need due to abuse or neglect: rate per 10,000 children aged under 18 years",Car occupants killed or seriously injured in road traffic accidents (aged 15-24),Percentage of 5 year olds with experience of visually obvious dental decay,Children in care immunisations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Social support: Asylum seeker support,Individuals not reaching the Minimum Income Standard,Smoking prevalence in adults with a long term mental health condition (18+) - current smokers (GPPS),Persons entering drug misuse treatment - Percentage of eligible persons completing a course of hepatitis B vaccination,"Permanent admissions to residential and nursing care homes per 100,000 aged 65+",Admission episodes for mental and behavioural disorders due to use of alcohol (Narrow): Old Method,"Measles incidence rate/100,000",Percentage of deliveries to mothers from Black and Minority Ethnic (BME) groups,Population vaccination coverage: Meningococcal ACWY conjugate vaccine (MenACWY) (14 to 15 years),Prevalence of potential eating disorders among young people: estimated number aged 16 - 24,Under 75 mortality rate from cancer considered preventable (2019 definition),"Admission episodes for alcohol-related conditions (Narrow) – 40 to 64 years: New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Open spaces,Smoking attributable deaths from stroke (new method),"Chlamydia diagnostic rate per 100,000 aged 25 years and older",People invited for an NHS Health Check,Records with height rounded to X.0 or X.5,"Emergency hospital admissions for hip fracture in persons 65 years and over, standardised admission ratio",HIV late diagnosis in people first diagnosed with HIV in the UK,Estimated prevalence of common mental disorders: % of population aged 16 & over,Admissions of babies under 14 days,"Typhoid & paratyphoid incidence rate/100,000",Percentage of adults (aged 18+) classified as obese,Estimated diabetes diagnosis rate,Admission episodes for alcohol-related conditions (Broad): Old Method,"Dementia: Crude Recorded Prevalence (aged under 65 years) per 10,000","Violent crime - sexual offences per 1,000 population",Long term claimants of Jobseeker's Allowance,Under 75 mortality rate from cancer considered preventable (2016 definition),Abdominal Aortic Aneurysm Screening Coverage,Proportion of TB cases offered an HIV test,Post-neonatal mortality rate,Serious casualties from road traffic accidents (aged 0-24),Drug misuse in early pregnancy,"Admission episodes for alcohol-related unintentional injuries (Narrow): New method.  This indicator uses a new set of attributable fractions, and so differ from that originally published.",Participation rate: Year 6,Social Isolation: percentage of adult social care users who have as much social contact as they would like,Density of fast food outlets,Percentage with 3 or more risky behaviours at age 15,Adjustment disorders and distress in perinatal period (upper estimate): Estimated number of women,D09 - NHS organisations with a board approved sustainable development management plan,"Deaths from all causes, under 75 years, standardised mortality ratio","Measles incidence rate/100,000",Children aged 11-15 killed or seriously injured in road traffic accidents,Smoking prevalence in adults with anxiety or depression (18+) - current smokers (GPPS),First time offenders,Volume of pure alcohol sold through the off-trade: wine sales,Dementia: Direct standardised rate of emergency admissions (aged 65 years and over),Satisfaction with social care support: % service users extremely satisfied or very satisfied with their care and support,Gap in the employment rate between those with a physical or mental long term health condition (aged 16 to 64) and the overall employment rate,Population vaccination coverage: Dtap IPV  Hib (1 year old),Inequality in life expectancy at 65,Fraction of mortality attributable to particulate air pollution (old method),Excess winter deaths index (age 85+),"Migrant GP registrations: rate per 1,000 population",Percentage of deliveries to mothers from Black and Minority Ethnic (BME) groups,Air pollution: fine particulate matter (historic indicator),"Suicide crude rate 10-34 years: per 100,000 (5 year average)",Volume of pure alcohol sold through the off-trade: all alcohol sales,"DiUPR - Respiratory disease (%), Persons, All Ages.",Percentage of the total resident population who are 0 to 4 years of age,Air pollution: fine particulate matter (new method - concentrations of total PM2.5),Disability-free life expectancy at birth,Proportion of drug sensitive TB cases who had died at last reported outcome,Deprivation score (IMD 2015),Percentage physically active for at least one hour per day seven days a week at age 15,Under 75 mortality rate from cancer considered preventable (2019 definition),Children in care,Children in care immunisations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

