code,final_year,description,profile
368,2019,National child measurement programme (prescribed functions),PUBLIC HEALTH
370,2019,Public health advice to NHS commissioners (prescribed functions),PUBLIC HEALTH
371,2019,Obesity - adults,PUBLIC HEALTH
372,2019,Obesity - children,PUBLIC HEALTH
373,2019,Physical activity - adults,PUBLIC HEALTH
374,2019,Physical activity - children,PUBLIC HEALTH
376,2019,Substance misuse - Treatment for drug misuse in adults,PUBLIC HEALTH
377,2019,Substance misuse - Treatment for alcohol misuse in adults,PUBLIC HEALTH
378,2019,Substance misuse - Preventing and reducing harm from drug misuse in adults,PUBLIC HEALTH
379,2019,Substance misuse - Preventing and reducing harm from alcohol misuse in adults,PUBLIC HEALTH
380,2019,Substance misuse - Specialist drug and alcohol misuse services for children and young people,PUBLIC HEALTH
381,2019,Smoking and tobacco - Stop smoking services and interventions,PUBLIC HEALTH
382,2019,Smoking and tobacco - Wider tobacco control,PUBLIC HEALTH
383,2019,Children 5–19 public health programmes,PUBLIC HEALTH
384,2019,Mandated 0-5 children’s services (prescribed functions),PUBLIC HEALTH
385,2019,All Other 0-5 children’s services (non-prescribed functions),PUBLIC HEALTH
386,2019,Health at work,PUBLIC HEALTH
387,2019,Public mental health,PUBLIC HEALTH
389,2019,Miscellaneous public health services - other,PUBLIC HEALTH
390,2019,TOTAL PUBLIC HEALTH (total of lines 361 to 386),PUBLIC HEALTH
409,2019,"Housing strategy, advice, advances, enabling, renewals and licensing",HOUSING SERVICES (GFRA only)
440,2019,Homelessness,HOUSING SERVICES (GFRA only)
456,2019,Housing benefits: rent allowances and rent rebates - discretionary payments,HOUSING SERVICES (GFRA only)
457,2019,Housing benefits administration,HOUSING SERVICES (GFRA only)
460,2019,Other council property - travellers' sites and non-HRA council property,HOUSING SERVICES (GFRA only)
475,2019,Housing welfare: Supporting People,HOUSING SERVICES (GFRA only)
478,2019,Other welfare services,HOUSING SERVICES (GFRA only)
490,2019,TOTAL HOUSING SERVICES (GFRA only)  (total of lines 409 to 478),HOUSING SERVICES (GFRA only)
500,2019,Archives,CULTURAL AND RELATED SERVICES
501,2019,Culture and heritage (excluding Archives),CULTURAL AND RELATED SERVICES
502,2019,Recreation and sport,CULTURAL AND RELATED SERVICES
503,2019,Open spaces,CULTURAL AND RELATED SERVICES
504,2019,Tourism,CULTURAL AND RELATED SERVICES
505,2019,Library service,CULTURAL AND RELATED SERVICES
509,2019,TOTAL CULTURAL AND RELATED SERVICES (total of lines 500 to 505),CULTURAL AND RELATED SERVICES
510,2019,"Cemetery, cremation and mortuary services",ENVIRONMENTAL AND REGULATORY SERVICES
519,2019,Regulatory services: Trading standards,ENVIRONMENTAL AND REGULATORY SERVICES
520,2019,Regulatory services: Water safety,ENVIRONMENTAL AND REGULATORY SERVICES
521,2019,Regulatory services: Food safety,ENVIRONMENTAL AND REGULATORY SERVICES
522,2019,Regulatory services: Environmental protection; noise and nuisance,ENVIRONMENTAL AND REGULATORY SERVICES
523,2019,Regulatory services: Housing standards,ENVIRONMENTAL AND REGULATORY SERVICES
524,2019,Regulatory services: Health and safety,ENVIRONMENTAL AND REGULATORY SERVICES
525,2019,Regulatory services: Port health (excluding levies),ENVIRONMENTAL AND REGULATORY SERVICES
526,2019,Regulatory services: Port health levies,ENVIRONMENTAL AND REGULATORY SERVICES
527,2019,Regulatory services: Pest control,ENVIRONMENTAL AND REGULATORY SERVICES
528,2019,Regulatory services: Public conveniences,ENVIRONMENTAL AND REGULATORY SERVICES
529,2019,Regulatory services: Animal and public health; infectious disease,ENVIRONMENTAL AND REGULATORY SERVICES
530,2019,Regulatory services: Licensing - Alcohol and entertainment licensing; taxi licensing,ENVIRONMENTAL AND REGULATORY SERVICES
531,2019,Community safety (Crime reduction),ENVIRONMENTAL AND REGULATORY SERVICES
532,2019,Community safety (Safety services),ENVIRONMENTAL AND REGULATORY SERVICES
533,2019,Community safety (CCTV),ENVIRONMENTAL AND REGULATORY SERVICES
541,2019,Defences against flooding,ENVIRONMENTAL AND REGULATORY SERVICES
543,2019,Land drainage and related work (excluding levy / Special levies),ENVIRONMENTAL AND REGULATORY SERVICES
544,2019,Land drainage and related work - Levy / Special levies,ENVIRONMENTAL AND REGULATORY SERVICES
547,2019,Coast protection,ENVIRONMENTAL AND REGULATORY SERVICES
550,2019,Agriculture and fisheries services,ENVIRONMENTAL AND REGULATORY SERVICES
570,2019,Street cleansing (not chargeable to Highways),ENVIRONMENTAL AND REGULATORY SERVICES
581,2019,Waste collection,ENVIRONMENTAL AND REGULATORY SERVICES
582,2019,Waste disposal,ENVIRONMENTAL AND REGULATORY SERVICES
583,2019,Trade waste,ENVIRONMENTAL AND REGULATORY SERVICES
584,2019,Recycling,ENVIRONMENTAL AND REGULATORY SERVICES
585,2019,Waste minimisation,ENVIRONMENTAL AND REGULATORY SERVICES
586,2019,Climate change costs,ENVIRONMENTAL AND REGULATORY SERVICES
590,2019,TOTAL ENVIRONMENTAL AND REGULATORY SERVICES (total of lines 510 to 586),ENVIRONMENTAL AND REGULATORY SERVICES
591,2019,Building control,PLANNING AND DEVELOPMENT SERVICES
592,2019,Development control,PLANNING AND DEVELOPMENT SERVICES
593,2019,Planning policy,PLANNING AND DEVELOPMENT SERVICES
594,2019,Environmental initiatives,PLANNING AND DEVELOPMENT SERVICES
595,2019,Economic development,PLANNING AND DEVELOPMENT SERVICES
596,2019,Community development,PLANNING AND DEVELOPMENT SERVICES
597,2019,Economic research,PLANNING AND DEVELOPMENT SERVICES
598,2019,Business Support,PLANNING AND DEVELOPMENT SERVICES
599,2019,TOTAL PLANNING AND DEVELOPMENT SERVICES (total of lines 591 to 598),PLANNING AND DEVELOPMENT SERVICES
601,2019,TOTAL POLICE SERVICES,PLANNING AND DEVELOPMENT SERVICES
602,2019,TOTAL FIRE AND RESCUE SERVICES,PLANNING AND DEVELOPMENT SERVICES
604,2019,Coroners' court services,CENTRAL SERVICES
605,2019,Other court services,CENTRAL SERVICES
610,2019,Corporate and democratic core,CENTRAL SERVICES
623,2019,Local tax collection: council tax discounts - locally funded,CENTRAL SERVICES
625,2019,Local tax collection: council tax support administration,CENTRAL SERVICES
628,2019,Local tax collection: other,CENTRAL SERVICES
650,2019,Emergency planning,CENTRAL SERVICES
675,2019,Central services to the public: other,CENTRAL SERVICES
681,2019,Non-distributed costs - retirement benefits,CENTRAL SERVICES
682,2019,Non-distributed costs - costs of unused shares of IT facilities and other assets,CENTRAL SERVICES
684,2019,Non-distributed costs - revenue expenditure on surplus assets,CENTRAL SERVICES
690,2019,TOTAL CENTRAL SERVICES (total of lines 604 to 684),CENTRAL SERVICES
698,2019,TOTAL OTHER SERVICES,CENTRAL SERVICES
799,2019,"TOTAL SERVICE EXPENDITURE (total of lines 190, 290, 330, 360, 390, 490, 509, 590, 599, 601, 602, 690 and 698)",CENTRAL SERVICES
811,2019,Housing benefits: rent allowances - mandatory payments,CENTRAL SERVICES
812,2019,Housing benefits: non-HRA rent rebates - mandatory payments,CENTRAL SERVICES
813,2019,Housing benefits: rent rebates to HRA tenants - mandatory payments,CENTRAL SERVICES
814,2019,Housing benefits: subsidy limitation transfers from HRA,CENTRAL SERVICES
818,2019,Contribution to the HRA re items shared by the whole community,CENTRAL SERVICES
821,2019,Parish Precepts,Precepts and levies
822,2019,Integrated Transport Authority levy,Precepts and levies
824,2019,Waste Disposal Authority levy,Precepts and levies
827,2019,London Pensions Fund Authority levy,Precepts and levies
828,2019,Other levies,Precepts and levies
831,2019,External Trading Accounts net surplus(-)/ deficit(+),Precepts and levies
832,2019,Internal Trading Accounts net surplus(-)/ deficit(+),Precepts and levies
841,2019,Capital items accounted for in External Trading Accounts,Precepts and levies
842,2019,Capital items accounted for in Internal Trading Accounts,Precepts and levies
847,2019,Appropriations to(+) / from(-) Accumulated Absences Account,Precepts and levies
848,2019,Adjustments to net current expenditure,Precepts and levies
849,2019,NET CURRENT EXPENDITURE (total of lines 799 to 848),Precepts and levies
110,2018,Early years,EDUCATION SERVICES
120,2018,Primary schools,EDUCATION SERVICES
130,2018,Secondary schools,EDUCATION SERVICES
140,2018,Special schools and alternative provision,EDUCATION SERVICES
145,2018,Post-16 provision,EDUCATION SERVICES
165,2018,Other education and community budget,EDUCATION SERVICES
190,2018,TOTAL EDUCATION SERVICES (total of lines 110 to 165),EDUCATION SERVICES
210,2018,"Transport planning, policy and strategy",HIGHWAYS AND TRANSPORT SERVICES
230,2018,Structural maintenance,HIGHWAYS AND TRANSPORT SERVICES
247,2018,"Environmental, safety and routine maintenance",HIGHWAYS AND TRANSPORT SERVICES
248,2018,Winter service,HIGHWAYS AND TRANSPORT SERVICES
249,2018,Street lighting (including energy costs),HIGHWAYS AND TRANSPORT SERVICES
251,2018,Traffic management and road safety: congestion charging,HIGHWAYS AND TRANSPORT SERVICES
252,2018,Traffic management and road safety: traffic management – bus lane enforcement,HIGHWAYS AND TRANSPORT SERVICES
254,2018,Traffic management and road safety: road safety education and safe routes (including school crossing patrols),HIGHWAYS AND TRANSPORT SERVICES
258,2018,Traffic management and road safety: other,HIGHWAYS AND TRANSPORT SERVICES
260,2018,Parking services,HIGHWAYS AND TRANSPORT SERVICES
271,2018,Public transport: statutory concessionary fares,HIGHWAYS AND TRANSPORT SERVICES
272,2018,Public transport: discretionary concessionary fares,HIGHWAYS AND TRANSPORT SERVICES
275,2018,Public transport: support to operators,HIGHWAYS AND TRANSPORT SERVICES
276,2018,Public transport: co-ordination,HIGHWAYS AND TRANSPORT SERVICES
280,2018,"Airports, harbours and toll facilities",HIGHWAYS AND TRANSPORT SERVICES
290,2018,TOTAL HIGHWAYS AND TRANSPORT SERVICES (total of lines 210 to 280),HIGHWAYS AND TRANSPORT SERVICES
310,2018,Sure start children's centres/flying start and early years,CHILDREN'S SOCIAL CARE
313,2018,Children looked after,CHILDREN'S SOCIAL CARE
315,2018,Other children and family services,CHILDREN'S SOCIAL CARE
322,2018,Family support services,CHILDREN'S SOCIAL CARE
323,2018,Youth justice,CHILDREN'S SOCIAL CARE
325,2018,Safeguarding children and young people’s services,CHILDREN'S SOCIAL CARE
326,2018,Asylum seekers,CHILDREN'S SOCIAL CARE
327,2018,Services for young people,CHILDREN'S SOCIAL CARE
330,2018,TOTAL CHILDREN'S SOCIAL CARE (total of lines 310 to 327),CHILDREN'S SOCIAL CARE
332,2018,Physical support - adults (18–64),ADULT SOCIAL CARE
333,2018,Physical support - older people (65+),ADULT SOCIAL CARE
334,2018,Sensory support - adults (18–64),ADULT SOCIAL CARE
335,2018,Sensory support - older people (65+),ADULT SOCIAL CARE
336,2018,Support with memory and cognition - adults (18–64),ADULT SOCIAL CARE
337,2018,Support with memory and cognition - older people (65+),ADULT SOCIAL CARE
340,2018,Learning disability support - adults (18–64),ADULT SOCIAL CARE
341,2018,Learning disability support - older people (65+),ADULT SOCIAL CARE
344,2018,Mental health support - adults (18–64),ADULT SOCIAL CARE
345,2018,Mental health support - older people (65+),ADULT SOCIAL CARE
348,2018,Social support: Substance misuse support,ADULT SOCIAL CARE
349,2018,Social support: Asylum seeker support,ADULT SOCIAL CARE
350,2018,Social support: Support for carer,ADULT SOCIAL CARE
351,2018,Social support: Social Isolation,ADULT SOCIAL CARE
353,2018,Assistive equipment and technology,ADULT SOCIAL CARE
354,2018,Social care activities,ADULT SOCIAL CARE
355,2018,Information and early intervention,ADULT SOCIAL CARE
356,2018,Commissioning and service delivery,ADULT SOCIAL CARE
360,2018,TOTAL ADULT SOCIAL CARE (total of lines 332 to 356),ADULT SOCIAL CARE
361,2018,Sexual health services - STI testing and treatment (prescribed functions),PUBLIC HEALTH
362,2018,Sexual health services - Contraception (prescribed functions),PUBLIC HEALTH
363,2018,"Sexual health services - Promotion, prevention and advice (non-prescribed functions)",PUBLIC HEALTH
365,2018,NHS health check programme  (prescribed functions),PUBLIC HEALTH
366,2018,Health protection - Local authority role in health protection  (prescribed functions),PUBLIC HEALTH
368,2018,National child measurement programme (prescribed functions),PUBLIC HEALTH
370,2018,Public health advice to NHS commissioners (prescribed functions),PUBLIC HEALTH
371,2018,Obesity - adults,PUBLIC HEALTH
372,2018,Obesity - children,PUBLIC HEALTH
373,2018,Physical activity - adults,PUBLIC HEALTH
374,2018,Physical activity - children,PUBLIC HEALTH
376,2018,Substance misuse - Treatment for drug misuse in adults,PUBLIC HEALTH
377,2018,Substance misuse - Treatment for alcohol misuse in adults,PUBLIC HEALTH
378,2018,Substance misuse - Preventing and reducing harm from drug misuse in adults,PUBLIC HEALTH
379,2018,Substance misuse - Preventing and reducing harm from alcohol misuse in adults,PUBLIC HEALTH
380,2018,Substance misuse - Specialist drug and alcohol misuse services for children and young people,PUBLIC HEALTH
381,2018,Smoking and tobacco - Stop smoking services and interventions,PUBLIC HEALTH
382,2018,Smoking and tobacco - Wider tobacco control,PUBLIC HEALTH
383,2018,Children 5–19 public health programmes,PUBLIC HEALTH
384,2018,Mandated 0-5 children’s services (prescribed functions),PUBLIC HEALTH
385,2018,All Other 0-5 children’s services (non-prescribed functions),PUBLIC HEALTH
386,2018,Health at work,PUBLIC HEALTH
387,2018,Public mental health,PUBLIC HEALTH
389,2018,Miscellaneous public health services - other,PUBLIC HEALTH
390,2018,TOTAL PUBLIC HEALTH (total of lines 361 to 386),PUBLIC HEALTH
409,2018,"Housing strategy, advice, advances, enabling, renewals and licensing",HOUSING SERVICES (GFRA only)
440,2018,Homelessness,HOUSING SERVICES (GFRA only)
456,2018,Housing benefits: rent allowances and rent rebates - discretionary payments,HOUSING SERVICES (GFRA only)
457,2018,Housing benefits administration,HOUSING SERVICES (GFRA only)
460,2018,Other council property - travellers' sites and non-HRA council property,HOUSING SERVICES (GFRA only)
475,2018,Housing welfare: Supporting People,HOUSING SERVICES (GFRA only)
478,2018,Other welfare services,HOUSING SERVICES (GFRA only)
490,2018,TOTAL HOUSING SERVICES (GFRA only)  (total of lines 409 to 478),HOUSING SERVICES (GFRA only)
500,2018,Archives,CULTURAL AND RELATED SERVICES
501,2018,Culture and heritage (excluding Archives),CULTURAL AND RELATED SERVICES
502,2018,Recreation and sport,CULTURAL AND RELATED SERVICES
503,2018,Open spaces,CULTURAL AND RELATED SERVICES
504,2018,Tourism,CULTURAL AND RELATED SERVICES
505,2018,Library service,CULTURAL AND RELATED SERVICES
509,2018,TOTAL CULTURAL AND RELATED SERVICES (total of lines 500 to 505),CULTURAL AND RELATED SERVICES
510,2018,"Cemetery, cremation and mortuary services",ENVIRONMENTAL AND REGULATORY SERVICES
519,2018,Regulatory services: Trading standards,ENVIRONMENTAL AND REGULATORY SERVICES
520,2018,Regulatory services: Water safety,ENVIRONMENTAL AND REGULATORY SERVICES
521,2018,Regulatory services: Food safety,ENVIRONMENTAL AND REGULATORY SERVICES
522,2018,Regulatory services: Environmental protection; noise and nuisance,ENVIRONMENTAL AND REGULATORY SERVICES
523,2018,Regulatory services: Housing standards,ENVIRONMENTAL AND REGULATORY SERVICES
524,2018,Regulatory services: Health and safety,ENVIRONMENTAL AND REGULATORY SERVICES
525,2018,Regulatory services: Port health (excluding levies),ENVIRONMENTAL AND REGULATORY SERVICES
526,2018,Regulatory services: Port health levies,ENVIRONMENTAL AND REGULATORY SERVICES
527,2018,Regulatory services: Pest control,ENVIRONMENTAL AND REGULATORY SERVICES
528,2018,Regulatory services: Public conveniences,ENVIRONMENTAL AND REGULATORY SERVICES
529,2018,Regulatory services: Animal and public health; infectious disease,ENVIRONMENTAL AND REGULATORY SERVICES
530,2018,Regulatory services: Licensing - Alcohol and entertainment licensing; taxi licensing,ENVIRONMENTAL AND REGULATORY SERVICES
531,2018,Community safety (Crime reduction),ENVIRONMENTAL AND REGULATORY SERVICES
532,2018,Community safety (Safety services),ENVIRONMENTAL AND REGULATORY SERVICES
533,2018,Community safety (CCTV),ENVIRONMENTAL AND REGULATORY SERVICES
541,2018,Defences against flooding,ENVIRONMENTAL AND REGULATORY SERVICES
543,2018,Land drainage and related work (excluding levy / Special levies),ENVIRONMENTAL AND REGULATORY SERVICES
544,2018,Land drainage and related work - Levy / Special levies,ENVIRONMENTAL AND REGULATORY SERVICES
547,2018,Coast protection,ENVIRONMENTAL AND REGULATORY SERVICES
550,2018,Agriculture and fisheries services,ENVIRONMENTAL AND REGULATORY SERVICES
570,2018,Street cleansing (not chargeable to Highways),ENVIRONMENTAL AND REGULATORY SERVICES
581,2018,Waste collection,ENVIRONMENTAL AND REGULATORY SERVICES
582,2018,Waste disposal,ENVIRONMENTAL AND REGULATORY SERVICES
583,2018,Trade waste,ENVIRONMENTAL AND REGULATORY SERVICES
584,2018,Recycling,ENVIRONMENTAL AND REGULATORY SERVICES
585,2018,Waste minimisation,ENVIRONMENTAL AND REGULATORY SERVICES
586,2018,Climate change costs,ENVIRONMENTAL AND REGULATORY SERVICES
590,2018,TOTAL ENVIRONMENTAL AND REGULATORY SERVICES (total of lines 510 to 586),ENVIRONMENTAL AND REGULATORY SERVICES
591,2018,Building control,PLANNING AND DEVELOPMENT SERVICES
592,2018,Development control,PLANNING AND DEVELOPMENT SERVICES
593,2018,Planning policy,PLANNING AND DEVELOPMENT SERVICES
594,2018,Environmental initiatives,PLANNING AND DEVELOPMENT SERVICES
595,2018,Economic development,PLANNING AND DEVELOPMENT SERVICES
596,2018,Community development,PLANNING AND DEVELOPMENT SERVICES
597,2018,Economic research,PLANNING AND DEVELOPMENT SERVICES
598,2018,Business Support,PLANNING AND DEVELOPMENT SERVICES
599,2018,TOTAL PLANNING AND DEVELOPMENT SERVICES (total of lines 591 to 598),PLANNING AND DEVELOPMENT SERVICES
601,2018,TOTAL POLICE SERVICES,PLANNING AND DEVELOPMENT SERVICES
602,2018,TOTAL FIRE AND RESCUE SERVICES,PLANNING AND DEVELOPMENT SERVICES
604,2018,Coroners' court services,CENTRAL SERVICES
605,2018,Other court services,CENTRAL SERVICES
610,2018,Corporate and democratic core,CENTRAL SERVICES
623,2018,Local tax collection: council tax discounts - locally funded,CENTRAL SERVICES
625,2018,Local tax collection: council tax support administration,CENTRAL SERVICES
628,2018,Local tax collection: other,CENTRAL SERVICES
650,2018,Emergency planning,CENTRAL SERVICES
675,2018,Central services to the public: other,CENTRAL SERVICES
681,2018,Non-distributed costs - retirement benefits,CENTRAL SERVICES
682,2018,Non-distributed costs - costs of unused shares of IT facilities and other assets,CENTRAL SERVICES
684,2018,Non-distributed costs - revenue expenditure on surplus assets,CENTRAL SERVICES
690,2018,TOTAL CENTRAL SERVICES (total of lines 604 to 684),CENTRAL SERVICES
698,2018,TOTAL OTHER SERVICES,CENTRAL SERVICES
799,2018,"TOTAL SERVICE EXPENDITURE (total of lines 190, 290, 330, 360, 390, 490, 509, 590, 599, 601, 602, 690 and 698)",CENTRAL SERVICES
811,2018,Housing benefits: rent allowances - mandatory payments,CENTRAL SERVICES
812,2018,Housing benefits: non-HRA rent rebates - mandatory payments,CENTRAL SERVICES
813,2018,Housing benefits: rent rebates to HRA tenants - mandatory payments,CENTRAL SERVICES
814,2018,Housing benefits: subsidy limitation transfers from HRA,CENTRAL SERVICES
818,2018,Contribution to the HRA re items shared by the whole community,CENTRAL SERVICES
821,2018,Parish Precepts,Precepts and levies
822,2018,Integrated Transport Authority levy,Precepts and levies
824,2018,Waste Disposal Authority levy,Precepts and levies
827,2018,London Pensions Fund Authority levy,Precepts and levies
828,2018,Other levies,Precepts and levies
831,2018,External Trading Accounts net surplus(-)/ deficit(+),Precepts and levies
832,2018,Internal Trading Accounts net surplus(-)/ deficit(+),Precepts and levies
841,2018,Capital items accounted for in External Trading Accounts,Precepts and levies
842,2018,Capital items accounted for in Internal Trading Accounts,Precepts and levies
847,2018,Appropriations to(+) / from(-) Accumulated Absences Account,Precepts and levies
848,2018,Adjustments to net current expenditure,Precepts and levies
849,2018,NET CURRENT EXPENDITURE (total of lines 799 to 848),Precepts and levies
110,2017,Early years,EDUCATION SERVICES
120,2017,Primary schools,EDUCATION SERVICES
130,2017,Secondary schools,EDUCATION SERVICES
140,2017,Special schools and alternative provision,EDUCATION SERVICES
145,2017,Post-16 provision,EDUCATION SERVICES
165,2017,Other education and community budget,EDUCATION SERVICES
190,2017,TOTAL EDUCATION SERVICES (total of lines 110 to 165),EDUCATION SERVICES
210,2017,"Transport planning, policy and strategy",HIGHWAYS AND TRANSPORT SERVICES
230,2017,Structural maintenance,HIGHWAYS AND TRANSPORT SERVICES
247,2017,"Environmental, safety and routine maintenance",HIGHWAYS AND TRANSPORT SERVICES
248,2017,Winter service,HIGHWAYS AND TRANSPORT SERVICES
249,2017,Street lighting (including energy costs),HIGHWAYS AND TRANSPORT SERVICES
251,2017,Traffic management and road safety: congestion charging,HIGHWAYS AND TRANSPORT SERVICES
252,2017,Traffic management and road safety: traffic management – bus lane enforcement,HIGHWAYS AND TRANSPORT SERVICES
254,2017,Traffic management and road safety: road safety education and safe routes (including school crossing patrols),HIGHWAYS AND TRANSPORT SERVICES
258,2017,Traffic management and road safety: other,HIGHWAYS AND TRANSPORT SERVICES
260,2017,Parking services,HIGHWAYS AND TRANSPORT SERVICES
271,2017,Public transport: statutory concessionary fares,HIGHWAYS AND TRANSPORT SERVICES
272,2017,Public transport: discretionary concessionary fares,HIGHWAYS AND TRANSPORT SERVICES
275,2017,Public transport: support to operators,HIGHWAYS AND TRANSPORT SERVICES
276,2017,Public transport: co-ordination,HIGHWAYS AND TRANSPORT SERVICES
280,2017,"Airports, harbours and toll facilities",HIGHWAYS AND TRANSPORT SERVICES
290,2017,TOTAL HIGHWAYS AND TRANSPORT SERVICES (total of lines 210 to 280),HIGHWAYS AND TRANSPORT SERVICES
310,2017,Children's social care: Sure start children's centres/flying start and early years,CHILDREN'S SOCIAL CARE
313,2017,Children's social care: Children looked after,CHILDREN'S SOCIAL CARE
315,2017,Children's social care: Other children and family services,CHILDREN'S SOCIAL CARE
322,2017,Children's social care: Family support services,CHILDREN'S SOCIAL CARE
323,2017,Children's social care: Youth justice,CHILDREN'S SOCIAL CARE
325,2017,Children's social care: Safeguarding children and young people’s services,CHILDREN'S SOCIAL CARE
326,2017,Children's social care: Asylum seekers,CHILDREN'S SOCIAL CARE
327,2017,Children's social care: Services for young people,CHILDREN'S SOCIAL CARE
330,2017,TOTAL CHILDREN'S SOCIAL CARE (total of lines 310 to 327),CHILDREN'S SOCIAL CARE
332,2017,Physical support - adults (18–64),ADULT SOCIAL CARE
333,2017,Physical support - older people (65+),ADULT SOCIAL CARE
334,2017,Sensory support - adults (18–64),ADULT SOCIAL CARE
335,2017,Sensory support - older people (65+),ADULT SOCIAL CARE
336,2017,Support with memory and cognition - adults (18–64),ADULT SOCIAL CARE
337,2017,Support with memory and cognition - older people (65+),ADULT SOCIAL CARE
340,2017,Learning disability support - adults (18–64),ADULT SOCIAL CARE
341,2017,Learning disability support - older people (65+),ADULT SOCIAL CARE
344,2017,Mental health support - adults (18–64),ADULT SOCIAL CARE
345,2017,Mental health support - older people (65+),ADULT SOCIAL CARE
348,2017,Social support: Substance misuse support,ADULT SOCIAL CARE
349,2017,Social support: Asylum seeker support,ADULT SOCIAL CARE
350,2017,Social support: Support for carer,ADULT SOCIAL CARE
351,2017,Social support: Social Isolation,ADULT SOCIAL CARE
353,2017,Assistive equipment and technology,ADULT SOCIAL CARE
354,2017,Social care activities,ADULT SOCIAL CARE
355,2017,Information and early intervention,ADULT SOCIAL CARE
356,2017,Commissioning and service delivery,ADULT SOCIAL CARE
360,2017,TOTAL ADULT SOCIAL CARE (total of lines 332 to 356),ADULT SOCIAL CARE
361,2017,Sexual health services - STI testing and treatment (prescribed functions),PUBLIC HEALTH
362,2017,Sexual health services - Contraception (prescribed functions),PUBLIC HEALTH
363,2017,"Sexual health services - Promotion, prevention and advice (non-prescribed functions)",PUBLIC HEALTH
365,2017,NHS health check programme  (prescribed functions),PUBLIC HEALTH
366,2017,Health protection - Local authority role in health protection  (prescribed functions),PUBLIC HEALTH
368,2017,National child measurement programme (prescribed functions),PUBLIC HEALTH
370,2017,Public health advice to NHS commissioners (prescribed functions),PUBLIC HEALTH
371,2017,Obesity - adults,PUBLIC HEALTH
372,2017,Obesity - children,PUBLIC HEALTH
373,2017,Physical activity - adults,PUBLIC HEALTH
374,2017,Physical activity - children,PUBLIC HEALTH
376,2017,Substance misuse - Treatment for drug misuse in adults,PUBLIC HEALTH
377,2017,Substance misuse - Treatment for alcohol misuse in adults,PUBLIC HEALTH
378,2017,Substance misuse - Preventing and reducing harm from drug misuse in adults,PUBLIC HEALTH
379,2017,Substance misuse - Preventing and reducing harm from alcohol misuse in adults,PUBLIC HEALTH
380,2017,Substance misuse - Specialist drug and alcohol misuse services for children and young people,PUBLIC HEALTH
381,2017,Smoking and tobacco - Stop smoking services and interventions,PUBLIC HEALTH
382,2017,Smoking and tobacco - Wider tobacco control,PUBLIC HEALTH
383,2017,Children 5–19 public health programmes,PUBLIC HEALTH
384,2017,Mandated 0-5 children’s services (prescribed functions),PUBLIC HEALTH
385,2017,All Other 0-5 children’s services (non-prescribed functions),PUBLIC HEALTH
386,2017,Health at work,PUBLIC HEALTH
387,2017,Public mental health,PUBLIC HEALTH
389,2017,Miscellaneous public health services - other,PUBLIC HEALTH
390,2017,TOTAL PUBLIC HEALTH (total of lines 361 to 386),PUBLIC HEALTH
409,2017,"Housing strategy, advice, advances, enabling, renewals and licensing",HOUSING SERVICES (GFRA only)
440,2017,Homelessness,HOUSING SERVICES (GFRA only)
456,2017,Housing benefits: rent allowances and rent rebates - discretionary payments,HOUSING SERVICES (GFRA only)
457,2017,Housing benefits administration,HOUSING SERVICES (GFRA only)
460,2017,Other council property - travellers' sites and non-HRA council property,HOUSING SERVICES (GFRA only)
475,2017,Housing welfare: Supporting People,HOUSING SERVICES (GFRA only)
478,2017,Other welfare services,HOUSING SERVICES (GFRA only)
490,2017,TOTAL HOUSING SERVICES (GFRA only)  (total of lines 409 to 478),HOUSING SERVICES (GFRA only)
500,2017,Archives,CULTURAL AND RELATED SERVICES
501,2017,Culture and heritage (excluding Archives),CULTURAL AND RELATED SERVICES
502,2017,Recreation and sport,CULTURAL AND RELATED SERVICES
503,2017,Open spaces,CULTURAL AND RELATED SERVICES
504,2017,Tourism,CULTURAL AND RELATED SERVICES
505,2017,Library service,CULTURAL AND RELATED SERVICES
509,2017,TOTAL CULTURAL AND RELATED SERVICES (total of lines 500 to 505),CULTURAL AND RELATED SERVICES
510,2017,"Cemetery, cremation and mortuary services",ENVIRONMENTAL AND REGULATORY SERVICES
519,2017,Regulatory services: Trading standards,ENVIRONMENTAL AND REGULATORY SERVICES
520,2017,Regulatory services: Water safety,ENVIRONMENTAL AND REGULATORY SERVICES
521,2017,Regulatory services: Food safety,ENVIRONMENTAL AND REGULATORY SERVICES
522,2017,Regulatory services: Environmental protection; noise and nuisance,ENVIRONMENTAL AND REGULATORY SERVICES
523,2017,Regulatory services: Housing standards,ENVIRONMENTAL AND REGULATORY SERVICES
524,2017,Regulatory services: Health and safety,ENVIRONMENTAL AND REGULATORY SERVICES
525,2017,Regulatory services: Port health (excluding levies),ENVIRONMENTAL AND REGULATORY SERVICES
526,2017,Regulatory services: Port health levies,ENVIRONMENTAL AND REGULATORY SERVICES
527,2017,Regulatory services: Pest control,ENVIRONMENTAL AND REGULATORY SERVICES
528,2017,Regulatory services: Public conveniences,ENVIRONMENTAL AND REGULATORY SERVICES
529,2017,Regulatory services: Animal and public health; infectious disease,ENVIRONMENTAL AND REGULATORY SERVICES
530,2017,Regulatory services: Licensing - Alcohol and entertainment licensing; taxi licensing,ENVIRONMENTAL AND REGULATORY SERVICES
531,2017,Community safety (Crime reduction),ENVIRONMENTAL AND REGULATORY SERVICES
532,2017,Community safety (Safety services),ENVIRONMENTAL AND REGULATORY SERVICES
533,2017,Community safety (CCTV),ENVIRONMENTAL AND REGULATORY SERVICES
